Sexo;Categoria;Deporte;F.Nacimiento;Nombre_Equipo;Temporada;Municipio;C.P.;Competicion;Instalacion;Distrito
MASCULINO;ALEVIN                                            ;REMO                                              ;09/04/2009;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;REMO                                              ;05/07/2011;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;REMO                                              ;09/03/2011;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;REMO                                              ;09/05/2011;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;REMO                                              ;10/09/2009;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;REMO                                              ;10/12/2008;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;REMO                                              ;24/11/2008;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;REMO                                              ;31/01/2008;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;REMO                                              ;10/09/2009;ESCUELA MANZANARES                                ;2020;Madrid                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;REMO                                              ;24/08/2006;ESCUELA MANZANARES                                ;2020;MADRID                                            ;28035;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;TENIS                                             ;16/07/2009;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;TENIS                                             ;20/02/2009;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;TENIS                                             ;10/01/2009;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;SALVAMENTO Y SOCORRISMO                           ;10/06/2010;CDM A. GOYENECHE                                  ;2020;MADRID                                            ;28023;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
